,NAME,total_renter_households,30_to_34pct,35_to_39pct,40_to_49pct,50pct_plus,msa_code,cost_burdened,severely_burdened,pct_cost_burden,pct_severely_burdened,metro,state,burden_category
101,"Boise City, ID Metro Area",78205,7431,5235,6413,14344,14260,33423,14344,42.74,18.34,"Boise City, ID",ID,High (40-49%)
105,"Boston-Cambridge-Newton, MA-NH Metro Area",736123,67448,46031,59914,173950,14460,347343,173950,47.19,23.63,"Boston-Cambridge-Newton, MA-NH",MA,High (40-49%)
106,"Boulder, CO Metro Area",50324,4542,2985,4716,16110,14500,28353,16110,56.34,32.01,"Boulder, CO",CO,Very High (50%+)
107,"Bowling Green, KY Metro Area",26562,1883,1725,1518,6031,14540,11157,6031,42.0,22.71,"Bowling Green, KY",KY,High (40-49%)
113,"Bremerton-Silverdale-Port Orchard, WA Metro Area",31981,3489,2454,2653,6947,14740,15543,6947,48.6,21.72,"Bremerton-Silverdale-Port Orchard, WA",WA,High (40-49%)
116,"Bridgeport-Stamford-Norwalk, CT Metro Area",118930,10136,7865,10736,31775,14860,60512,31775,50.88,26.72,"Bridgeport-Stamford-Norwalk, CT",CT,Very High (50%+)
121,"Brownsville-Harlingen, TX Metro Area",46015,4150,2743,3614,10623,15180,21130,10623,45.92,23.09,"Brownsville-Harlingen, TX",TX,High (40-49%)
123,"Brunswick, GA Metro Area",13747,762,953,1310,2595,15260,5620,2595,40.88,18.88,"Brunswick, GA",GA,High (40-49%)
125,"Buffalo-Cheektowaga, NY Metro Area",167999,12636,9838,12652,42166,15380,77292,42166,46.01,25.1,"Buffalo-Cheektowaga, NY",NY,High (40-49%)
128,"Burlington, NC Metro Area",22883,1699,1220,2189,4787,15500,9895,4787,43.24,20.92,"Burlington, NC",NC,High (40-49%)
129,"Burlington-South Burlington, VT Metro Area",29961,2957,2074,2579,7810,15540,15420,7810,51.47,26.07,"Burlington-South Burlington, VT",VT,Very High (50%+)
133,"California-Lexington Park, MD Metro Area",11346,544,693,573,2602,15680,4412,2602,38.89,22.93,"California-Lexington Park, MD",MD,Moderate (30-39%)
139,"Canton-Massillon, OH Metro Area",51907,4173,3010,3944,9484,15940,20611,9484,39.71,18.27,"Canton-Massillon, OH",OH,Moderate (30-39%)
140,"Cape Coral-Fort Myers, FL Metro Area",83206,7339,6183,8014,22717,15980,44253,22717,53.18,27.3,"Cape Coral-Fort Myers, FL",FL,Very High (50%+)
141,"Cape Girardeau, MO-IL Metro Area",11493,851,852,712,2492,16020,4907,2492,42.7,21.68,"Cape Girardeau, MO-IL",MO,High (40-49%)
142,"Carbondale-Marion, IL Metro Area",20814,1871,1472,1663,4962,16060,9968,4962,47.89,23.84,"Carbondale-Marion, IL",IL,High (40-49%)
145,"Carson City, NV Metro Area",8905,1094,642,439,1790,16180,3965,1790,44.53,20.1,"Carson City, NV",NV,High (40-49%)
146,"Casper, WY Metro Area",8958,565,607,938,1709,16220,3819,1709,42.63,19.08,"Casper, WY",WY,High (40-49%)
148,"Cedar Rapids, IA Metro Area",27608,2116,1567,2067,5232,16300,10982,5232,39.78,18.95,"Cedar Rapids, IA",IA,Moderate (30-39%)
154,"Chambersburg-Waynesboro, PA Metro Area",16945,1548,984,1153,2916,16540,6601,2916,38.96,17.21,"Chambersburg-Waynesboro, PA",PA,Moderate (30-39%)
155,"Champaign-Urbana, IL Metro Area",39445,2696,2072,2999,10499,16580,18266,10499,46.31,26.62,"Champaign-Urbana, IL",IL,High (40-49%)
